id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n
UFot0hit/,/soccer/germany/bundesliga-2011-2012/dortmund-hamburger-UFot0hit/,TRUE,8/5/11,D1,2012,germany,Borussia Dortmund,Hamburg SV,3,1,1.56,4.41,7.42,NA,NA,NA,NA
Aw5DflLH/,/soccer/germany/bundesliga-2011-2012/augsburg-freiburg-Aw5DflLH/,TRUE,8/6/11,D1,2012,germany,FC Augsburg,SC Freiburg,2,2,2.36,3.6,3.4,NA,NA,NA,NA
